name,phone,email,website,rating,reviews,address,official_name,company_number,sic_codes
Surrey Plumbing Services - Caterham,,,,5.0,172.0,"4a, Wellesley Parade, Warlingham, Whyteleafe CR3 0BL, United Kingdom",,,
Near Me Plumbers,,,,5.0,208.0,"38 Glaisher St, London SE8 3ET, United Kingdom",,,
National Plumbing Ltd,,,,4.9,182.0,"67 Wingate Square, London SW4 0AF, United Kingdom",,,
Stewart & Stewart Plumbing and Heating Services,,,,5.0,79.0,"The Officers Mess, Coldstream Rd, Caterham CR3 5QX, United Kingdom",,,
Drainage & Plumbing Ltd,,,,5.0,90.0,"Brighton Rd, Purley CR8 2BA, United Kingdom",,,
Blueman Plumbing & Heating,,,,5.0,35.0,"Nork House, 33 Nork Way, Banstead SM7 1PB, United Kingdom",,,
Warlingham Plumbing Services,,,,5.0,1.0,"375 Limpsfield Rd, South Croydon, Warlingham CR6 9HA, United Kingdom",,,
Purly & Coulsdon,,,,5.0,37.0,"Flat 33, 130 Brighton Rd, Purley CR8 4EX, United Kingdom",,,
Surrey Plumbing Services - Coulsdon,,,,5.0,27.0,"131 Mead Way, Coulsdon CR5 1PR, United Kingdom",,,
Watermate Plumbing and Heating Ltd,,,,4.9,79.0,"8 Bristol Cl, Wallington SM6 9ED, United Kingdom",,,
IJF Plumbing & Heating,,,,5.0,12.0,"7 Lavender Cl, Chaldon, Caterham CR3 5DW, United Kingdom",,,
Near Me Plumbers,,,,5.0,100.0,"Milton Court, 23 Chesterton Cl, London SW18 1ST, United Kingdom",,,
YU Plumbing & Heating CORP,,,,5.0,8.0,"40 Frith Rd, Croydon CR0 1TA, United Kingdom",,,
Blueman Plumbing & Heating,,,,5.0,218.0,"51 Hamilton Ave, Cheam, Sutton SM3 9RJ, United Kingdom",,,
East London Plumbers,,,,4.6,156.0,"28 Wellington Way, Bow, London E3 4XA, United Kingdom",,,
Urgent Plumbers London,,,,5.0,102.0,"8 Spigurnell Rd, London N17 7PP, United Kingdom",,,
Bromley Plumbers Ltd,,,,4.9,616.0,"18 Addington Rd, West Wickham BR4 9BS, United Kingdom",,,
Plumbing London | Plumbing 4 London,,,,4.8,52.0,"17, Frederica Court, 35 Trinity Rise, Norwood, London SW2 2BF, United Kingdom",,,
Pulse Plumbing & Heating ltd,,,,5.0,94.0,"72 Ormeley Rd, London SW12 9QG, United Kingdom",,,
Purley Plumbers,,,,5.0,2.0,"3 Yewbank Cl, Kenley CR8 5JY, United Kingdom",,,
Jolly Plumbers,,,,5.0,98.0,"6 Greenway Gardens, Croydon CR0 8QG, United Kingdom",,,
East End Plumbers,,,,4.9,336.0,"8 Bodney Rd, Lower Clapton, London E8 1AY, United Kingdom",,,
Crown Plumbing Services,,,,5.0,92.0,"143 Nutfield Rd, Merstham, Redhill RH1 3HH, United Kingdom",,,
Surrey Plumbing Solutions Ltd,,,,5.0,25.0,"Glebe Rd, Warlingham CR6 9NJ, United Kingdom",,,
Priory Plumbing of Reigate,,,,4.8,74.0,"105 Bell St, Reigate RH2 7JB, United Kingdom",,,
M & J Plumbing and Heating,,,,5.0,10.0,"Model Cottage, 1 Slines Oak Rd, Woldingham, Caterham CR3 7EA, United Kingdom",,,
ADheat LTD,,,,5.0,60.0,"34 Downsway, South Croydon CR2 1QE, United Kingdom",,,
AJD Plumbing Services Ltd - South East London & Kent,,,,5.0,242.0,"45 The Drive, Bexley DA5 3DF, United Kingdom",,,
Chislehurst Plumbing & Heating Ltd,,,,4.4,72.0,"179 Main Rd, Biggin Hill, Westerham TN16 3JR, United Kingdom",,,
IMAA plumbing,,,,4.9,370.0,"Unit 14 Bedford Rd, London SW4 7HA, United Kingdom",,,
Lew's Plumbing and Heating,,,,5.0,20.0,"57 Home Park, Oxted RH8 0JS, United Kingdom",,,
Down The Drain Plumbers,,,,4.9,315.0,"21 Montem Rd, London SE23 1SA, United Kingdom",,,
Greenfields Plumbing Ltd,,,,5.0,27.0,"23 Oakfield Ln, Bromley, Keston BR2 6BY, United Kingdom",,,
Five Rivers Plumbing & Heating,,,,4.9,54.0,"82 Foxley Ln, Purley CR8 3EE, United Kingdom",,,
ASAP Heating and Plumbing LTD,,,,4.9,321.0,"42 Victoria Way, London SE7 7NQ, United Kingdom",,,
Simon Duff Plumbing & Heating Specialist,,,,5.0,172.0,"Knaphill, Woking GU21 2DG, United Kingdom",,,
West Street Plumbers,,,,5.0,52.0,"11 West St, Ewell, Epsom KT17 1UZ, United Kingdom",,,
The London Plumbing Company,,,,4.9,43.0,"89 Bickersteth Rd, London SW17 9SH, United Kingdom",,,
Marching-On 24/7 Plumbing,,,,4.7,28.0,"37a Stafford Rd, Wallington SM6 9AP, United Kingdom",,,
24-7 Emergency Plumbing Limited,,,,4.8,242.0,"3 Windermere Rd, Archway, London N19 5SG, United Kingdom",,,
London Emergency Plumbing,,,,4.6,198.0,"144 Ladbroke Grove, London W10 5NE, United Kingdom",,,
Emergency Plumbing Service,,,,5.0,47.0,"15a Sheen Ln, London SW14 8HY, United Kingdom",,,
Emergency Plumber 365,,,,5.0,173.0,"33 Holly Hill Rd, Belvedere, Erith DA8 1QB, United Kingdom",,,
Emergency heating and plumbing,,,,4.8,118.0,"22 Gervase Cl, Wembley Park, Wembley HA9 9EH, United Kingdom",,,
Emergency Plumber London Ltd,,,,4.9,80.0,"6a Crescent Rd, London N22 7RS, United Kingdom",,,
24-7 Emergency Plumbing Limited,,,,4.5,84.0,"2 St George's Terrace, London NW1 8XH, United Kingdom",,,
emergencyplumber london,,,,5.0,12.0,"Suite 248, Linen Hall, 162 168 Regent St., London W1B 5TB, United Kingdom",,,
Emergency plumber south-east London,,,,4.9,264.0,"42 Lenthorp Rd, London SE10 0HT, United Kingdom",,,
247 Rapid Response,,,,4.5,455.0,"80, Cumberland House, Scrubs Ln, London NW10 6RF, United Kingdom",,,
Sussex Emergency Plumbers,,,,5.0,23.0,"6 Victoria Ave, Burgess Hill RH15 9PX, United Kingdom",,,
KT GAS LTD (Emergency Plumbing Company),,,,5.0,276.0,"240 Portsmouth Rd, Cobham KT11 1HU, United Kingdom",,,
Emergency Plumber,,,,5.0,17.0,"23 Baillie Rd, Guildford GU1 3LN, United Kingdom",,,
"Boiler Installation, Replacement, Service and Repair London | Gas Boiler & Heating Repair LTD",,,,5.0,93.0,"49 Pendragon Rd, Bromley BR1 5JZ, United Kingdom",,,
Heating & Gas Solutions,,,,5.0,224.0,"34 Croydon Rd, Caterham CR3 6QB, United Kingdom",,,
Boilergurus,,,,5.0,84.0,"151 Claremont Ave, New Malden KT3 6QP, United Kingdom",,,
Boiler and Heating Care,,,,4.9,341.0,"UNIT 15, Leyton Business Centre, Etloe Rd, London E10 7BT, United Kingdom",,,
Affordable Boilers,,,,3.5,2.0,"28 Audley Dr, Warlingham CR6 9AH, United Kingdom",,,
Boiler Services London,,,,5.0,38.0,"9, Medway House, Carysfort Rd, London N16 9AA, United Kingdom",,,
The Boiler Repair Company,,,,5.0,2.0,"40b Sydenham Rd, Croydon CR0 2EF, United Kingdom",,,
PCH Boiler Repair London,,,,4.9,161.0,"39 Warrington Cres, London W9 1EJ, United Kingdom",,,
Bromley Boiler Specialists Limited,,,,4.9,53.0,"1 Knowlton Grn, Bromley BR2 9DH, United Kingdom",,,
ERV Heating,,,,4.9,102.0,"Cygnets Cl, Redhill RH1 2QE, United Kingdom",,,
Trust heating services,,,,5.0,66.0,"surrey, 145 Bishopsford Rd, Morden SM4 6BQ, United Kingdom",,,
United Gas Boiler & Electrical Services LTD,,,,4.8,47.0,"163 Central Rd, Morden SM4 5SJ, United Kingdom",,,
Tooting Plumbers & Boiler Repair,,,,5.0,2.0,"29 Frinton Rd, London SW17 9EH, United Kingdom",,,
Home Heating Services Ltd,,,,5.0,33.0,"Cordrey Gardens, Coulsdon CR5 2SP, United Kingdom",,,
Thornton Boiler Repair & Gas Engineers,,,,4.2,5.0,"9 Carew Rd, Thornton Heath CR7 7RF, United Kingdom",,,
UK Serve Boiler Repair & Gas,,,,5.0,1.0,"22A Monument Hill, Weybridge KT13 8RT, United Kingdom",,,
JF Heating,,,,5.0,61.0,"51 Stanley Rd, Carshalton SM5 4LE, United Kingdom",,,
24/7 Boiler Repair & Plumbers,,,,5.0,1.0,"32 Oakbank Ave, Walton-on-Thames KT12 3QZ, United Kingdom",,,
Boiler Repairs R Us,,,,3.8,160.0,"Suite 23, 63-66 Hatton Garden, London EC1N 8LE, United Kingdom",,,
Banstead Boilers,,,,4.9,27.0,"36 Lackford Rd, Chipstead, Coulsdon CR5 3TA, United Kingdom",,,
The Heating Man Ltd,,,,4.7,13.0,"Frensham Rd, Kenley CR8 5NS, United Kingdom",,,
24 Hour Boiler Repairs,,,,4.6,25.0,"86, 90 Paul St, London EC2A 4NE, United Kingdom",,,
Rowlen Boiler Services LTD,,,,5.0,290.0,"50 Whittaker Rd, Sutton SM3 9QG, United Kingdom",,,
Hedges & Sons,,,,5.0,142.0,"Woodside Way, Croydon CR0 7AT, United Kingdom",,,
Aryan Heating & Electrics Ltd,,,,4.8,105.0,"41 Stanley Rd, Croydon CR0 3QE, United Kingdom",,,
Walthamstow Boiler Repair & Gas Engineers,,,,5.0,4.0,"17 Pearl Rd, London E17 4QY, United Kingdom",,,
New Malden Plumbers & Boiler Repair,,,,4.5,8.0,"1 Byron Ave, New Malden KT3 6EX, United Kingdom",,,
B2B Heating Ltd,,,,4.8,50.0,"Weatherill House Business Centre, New South Quarter, Business Centre, 23 Whitestone Way, Croydon CR0 4WD, United Kingdom",,,
Heating services ltd,,,,5.0,2.0,"32 Stoneleigh Rd, Limpsfield Chart, Oxted RH8 0TR, United Kingdom",,,
Trusted Boilers,,,,5.0,13.0,"42 Crispin Cres, Beddington, Croydon CR0 4UE, United Kingdom",,,
Glowarm,,,,4.7,182.0,"Unit F1, Redlands Business Centre, Coulsdon CR5 2HT, United Kingdom",,,
A Lings Group Limited,,,,4.9,370.0,"Hackbridge, Wallington SM6 7AT, United Kingdom",,,
Canning Town Boiler Repair & Services,,,,5.0,2.0,"11 Florence St, London E16 4JS, United Kingdom",,,
Boiler Engineer 4U LTD,,,,5.0,142.0,"17 Strathdon Dr, London SW17 0PR, United Kingdom",,,
Mr Gas & More,,,,5.0,5.0,"Wimbourne Court, 15 Wimbourne Close, Harewood Rd, South Croydon CR2 7AT, United Kingdom",,,
Boiler Repairs London,,,,5.0,54.0,"75, Banbury House, Banbury Rd, London E9 7ED, United Kingdom",,,
RH Heating,,,,5.0,324.0,"27 Pollards Oak Cres, Oxted RH8 0JQ, United Kingdom",,,
Boiler Time REPLACE/FIX,,,,5.0,47.0,"405 Staines Rd W, surrey TW15 1RB, United Kingdom",,,
Local Boiler Repair London & Plumbing,,,,5.0,33.0,"74 Sandringham Rd, Barking IG11 9AJ, United Kingdom",,,
"Russell Haskins Heating, Plumbing & Boilers",,,,4.8,61.0,"2 Godolphin Cl, Cheam, Sutton SM2 7DX, United Kingdom",,,
DS Boiler Maintenance and Repair,,,,5.0,125.0,"11 Chessington Ave, Bexleyheath DA7 5NN, United Kingdom",,,
Heat Knights Boiler Repair London,,,,5.0,189.0,"3, Omega Works, Harringay Warehouse District, London N4 1LZ, United Kingdom",,,
Farnborough Boiler repair & Plumbing,,,,5.0,3.0,"70 Guildford Rd E, Farnborough GU14 6PX, United Kingdom",,,
VANQUISH PLUMBING AND HEATING LIMITED,,,,4.9,81.0,"9 Bromley Common, Bromley BR2 9LS, United Kingdom",,,
Peter Boiler Repair & Heating,,,,5.0,2.0,"240A High St, London N22 8HH, United Kingdom",,,
Greenwood Heating Ltd,,,,5.0,99.0,"10 Greenwood Dr, Redhill RH1 5PJ, United Kingdom",,,
R H Heating And Gas Services Ltd,,,,5.0,284.0,"No 3, 9 Rochdale Way, London SE8 4LY, United Kingdom",,,
Weybridge Boiler Repair & Plumbing Solutions,,,,5.0,4.0,"12 Oakfield Cl, Weybridge KT13 9DW, United Kingdom",,,
Boiler Bunny Heating Limited,,,,4.9,78.0,"23 Highclere St, London SE26 4EX, United Kingdom",,,
Homewood Heating,,,,5.0,3.0,"70 Mead Way, Coulsdon CR5 1PJ, United Kingdom",,,
Watford Boiler Repair,,,,4.9,361.0,"12 Cassiobury Dr, Watford WD17 3AB, United Kingdom",,,
Carshalton Boilers,,,,4.0,60.0,"63 Carshalton Rd, Sutton SM1 4LH, United Kingdom",,,
J Bagnall Gas Services,,,,4.9,137.0,"60 Churston Dr, Morden SM4 4JQ, United Kingdom",,,
Surrey & Sussex Boiler Repairs,,,,5.0,10.0,"Little Park Farm, Charlwood Rd, Crawley RH11 0JZ, United Kingdom",,,
UK Gas Plumbers - Commercial Gas Engineer,,,,4.6,34.0,"2JR, 7 Bell Yard, London WC2A 2JR, United Kingdom",,,
South London Heating Limited,,,,4.8,67.0,"67 High St, London SE20 7HW, United Kingdom",,,
Just Services Group,,,,4.9,251.0,"Highland House, 165 The Broadway, London SW19 1NE, United Kingdom",,,
AMT Heating Ltd,,,,5.0,111.0,"5 Elm Rd W, Morden, Sutton SM3 9EN, United Kingdom",,,
London Heating Solutions Ltd,,,,4.9,112.0,"348 Caledonian Rd, London N1 1DU, United Kingdom",,,
Express Boilers,,,,5.0,324.0,"35 Stanford Cl, Hampton TW12 3XZ, United Kingdom",,,
Rapidheat247,,,,4.8,231.0,"16 Lea Bridge Rd, Lower Clapton, London E5 9QD, United Kingdom",,,
Surrey Heating Specialists,,,,5.0,611.0,"54a Church Rd, Ashford TW15 2TS, United Kingdom",,,
R P L Plumbing & Heating Ltd,,,,5.0,47.0,"96 Aldrich Cres, New Addington, Croydon CR0 0NN, United Kingdom",,,
Hackney Heating,,,,4.7,273.0,"231 Well St, London E9 6RG, United Kingdom",,,
Plumr,,,,4.9,108.0,"15 Birchwood Ave, Hackbridge, Wallington SM6 7EN, United Kingdom",,,
Boilergurus,,,,5.0,155.0,"50 Selwood Rd, Old Woking, Woking GU22 9HT, United Kingdom",,,
The Boiler Dude,,,,5.0,162.0,"2, Acacia House, Douglas Rd, London N22 5RS, United Kingdom",,,
PlumbingForce,,,,4.3,329.0,"Unit 1, 3 Court Farm Rd, Tithepit Shaw Ln, Warlingham CR6 9AT, United Kingdom",,,
